rank;name;regex
1;ann_arbor;'arbor'
2;uicc;'uicc'
3;tnm;'tnm'
4;psa;'psa'
5;breslow;'breslow'
6;clark;'clark'
7;gleason;'gleason'
8;brain;'gehirn|brain|zns|gliom|id-h|1p19q|astrocytoma|glioblastoma|meningioma|koos|knosp|who.*(gehirn|brain|zns|hirn)'
9;hpv;'p16|hpv|pap'
10;isup_grade_group;'epstein|isup|grade group'
11;hep;'hep'
12;ki67;'ki67|ki-67'
13;hormone_receptor;'pgr|strogen|rezeptor|receptor|er %'
14;her2;'her-2|her2|erbb2'
15;siewert_aeg_type;'siewert|aeg'
16;dukes_stage;'dukes'
17;lauren_histotype;'lauren'
18;cll_staging;'binet|rai'
19;myeloma_staging;'durie|salmon|iss|myeloma'
20;leukemia_grading;'eln|fab|leukämie|leukemia'
21;who;'who'
