tablecolumn;tables;sel3_TNM;sel4_datum;sel5_pflicht;sel6_mamma;sel7_prostata;sel8_prio;sel9_darm;sel10_melanom;sel11_fo;sel12_free;sel13_unknown
[Applikationsart]Atemgetriggert;Applikationsart;;;;;;;;;;;
[Applikationsart]CodeVersion2014;Applikationsart;;;;;;;;;;;
[Applikationsart]CodeVersion2021;Applikationsart;;;;;;;;;;;
[Applikationsart]Interstitiell_endokavitaer;Applikationsart;;;;;;;;;;;
[Applikationsart]Metabolisch_Typ;Applikationsart;;;;;;;;;;;
[Applikationsart]Radiochemo;Applikationsart;;;;;;;;;;;
[Applikationsart]Rate_Type;Applikationsart;;;;;;;;;;;
[Applikationsart]Seite_Zielgebiet;Applikationsart;;;;;;;;;;;
[Applikationsart]Stereotaktisch;Applikationsart;;;;;;;;;;;
[Applikationsart]TypeOfST_TypBestrahlungApplikationsart;Applikationsart;;;;;;;;;;;
[Bestrahlung]Anzahl_Tage_Diagnose_Bestrahlung;Bestrahlung;;1;;;;;;;;;
[Bestrahlung]Anzahl_Tage_Bestrahlung_Dauer;Bestrahlung;;1;;;;;;;;;
[Bestrahlung]Datum_Beginn_Bestrahlung;Bestrahlung;;1;;;;;;;;;
[Bestrahlung]Datum_Beginn_Bestrahlung_Genauigkeit;Bestrahlung;;1;;;;;;;;;
[Diagnose_Fernmetastase]Lokalisation;Diagnose_Fernmetastase;;;;;;;;;;;
[Diagnose_WeitereKlassifikation]Name;Diagnose_WeitereKlassifikation;;;;;;;;;;;
[Diagnose_WeitereKlassifikation]Stadium;Diagnose_WeitereKlassifikation;;;;;;;;;;;
[Folgeereignis]Datum_Folgeereignis;Folgeereignis;;1;;;;;;;1;;
[Folgeereignis]Datum_Folgeereignis_Genauigkeit;Folgeereignis;;1;;;;;;;;;
[Folgeereignis]Gesamtbeurteilung_Tumorstatus;Folgeereignis;;;;;;;;;1;;1
[Folgeereignis]Verlauf_Lokaler_Tumorstatus;Folgeereignis;;;;;;;;;1;;
[Folgeereignis]Verlauf_Tumorstatus_Fernmetastasen;Folgeereignis;;;;;;;;;1;;
[Folgeereignis]Verlauf_Tumorstatus_Lymphknoten;Folgeereignis;;;;;;;;;1;;
[Folgeereignis_Fernmetastase]Lokalisation;Folgeereignis_Fernmetastase;;;;;;;;;;;
[Folgeereignis_TNM]a_Symbol;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]c_p_u_Praefix_M;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]c_p_u_Praefix_N;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]c_p_u_Praefix_T;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]L;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]M;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]N;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]Pn;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]r_Symbol;Folgeereignis_TNM;;;;;;;;;1;;
[Folgeereignis_TNM]S;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]T;Folgeereignis_TNM;;;;;;;;;1;;
[Folgeereignis_TNM]TNM_m_Symbol;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]UICC_Stadium;Folgeereignis_TNM;;;;;;;;;1;;
[Folgeereignis_TNM]V;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]Version;Folgeereignis_TNM;;;;;;;;;;;
[Folgeereignis_TNM]y_Symbol;Folgeereignis_TNM;;;;;;;;;1;;
[Folgeereignis_WeitereKlassifikation]Name;Folgeereignis_WeitereKlassifikation;;;;;;;;;;;
