z_kkr_label,z_dy,pct_no_treat
01-SH,2020,0.2135358204027732
01-SH,2021,0.2339155287392823
01-SH,2022,0.21443298969072164
01-SH,2023,0.21123152709359605
01-SH,2024,0.23861336032388664
01-SH,Total,0.22074029020766356
02-HH,2020,0.18702432938240798
02-HH,2021,0.19600881488736532
02-HH,2022,0.1822480902146235
02-HH,2023,0.19530225348754024
02-HH,2024,0.23227109515260322
02-HH,Total,0.19520832774394334
03-NI,2020,0.20886851782763952
03-NI,2021,0.2094295937697327
03-NI,2022,0.231510238458704
03-NI,2023,0.240356239460371
03-NI,2024,0.393519079345851
03-NI,Total,0.23937734388951723
04-HB,2020,0.1641207815275311
04-HB,2021,0.15603603603603602
04-HB,2022,0.1695786228160329
04-HB,2023,0.18149717514124294
04-HB,2024,0.18181818181818182
04-HB,Total,0.16953106773466056
05-NW,2020,0.3370450291491315
05-NW,2021,0.2681089528367539
05-NW,2022,0.2577720678245482
05-NW,2023,0.27366090575048396
05-NW,2024,0.3050716135744803
05-NW,Total,0.2867484601184504
06-HE,2020,0.2906831327184618
06-HE,2021,0.3238974515489089
06-HE,2022,0.29796473209228563
06-HE,2023,0.3333207318917284
06-HE,2024,0.3186236559139785
06-HE,Total,0.3123066345823307
07-RP,2020,0.26006127641896454
07-RP,2021,0.2452848484848485
07-RP,2022,0.2529655990510083
07-RP,2023,0.27863239846168275
07-RP,2024,0.3096013798390188
07-RP,Total,0.2651188610240334
08-BW,2020,0.22042789933537452
08-BW,2021,0.22946459475707284
08-BW,2022,0.24092475431655333
08-BW,2023,0.23616062541848387
08-BW,2024,0.2788232273210814
08-BW,Total,0.23703137203853164
09-BY,2020,0.19127650367806145
09-BY,2021,0.19942986303218407
09-BY,2022,0.20175116131403936
09-BY,2023,0.21966461003005852
09-BY,2024,0.26782297776244396
09-BY,Total,0.21092802152957008
10-SL,2020,0.17523167649536647
10-SL,2021,0.1830601092896175
10-SL,2022,0.21236506378802747
10-SL,2023,0.22226616571089577
10-SL,2024,0.26608764311093563
10-SL,Total,0.2061444341002793
11-BE,2020,0.171415068863084
11-BE,2021,0.16815195472581798
11-BE,2022,0.16700162074554295
11-BE,2023,0.16948392880010243
11-BE,2024,0.17298694902733316
11-BE,Total,0.1694592645998558
12-BB,2020,0.11761444638048471
12-BB,2021,0.1368295589988081
12-BB,2022,0.1474477121564228
12-BB,2023,0.15344746348358726
12-BB,2024,0.1819884726224784
12-BB,Total,0.14406247820932988
13-MV,2020,0.08681429290387518
13-MV,2021,0.10188106087159715
13-MV,2022,0.1293371620004786
13-MV,2023,0.15587366507611905
13-MV,2024,0.21739130434782608
13-MV,Total,0.12051372273047149
14-SN,2020,0.09408602150537634
14-SN,2021,0.09527602170341978
14-SN,2022,0.09979023074617921
14-SN,2023,0.10563178959405374
14-SN,2024,0.11908524681602678
14-SN,Total,0.10117721574280347
15-ST,2020,0.12816759674320738
15-ST,2021,0.15829724500138212
15-ST,2022,0.17093311312964493
15-ST,2023,0.1727863668306395
15-ST,2024,0.18379310344827587
15-ST,Total,0.16072753524374836
16-TH,2020,0.15940446650124068
16-TH,2021,0.16379636638909917
16-TH,2022,0.1845049412642178
16-TH,2023,0.2153875272073436
16-TH,2024,0.2571539809227175
16-TH,Total,0.18934421005672042
Total,2020,0.22635658914728682
Total,2021,0.217737890513041
Total,2022,0.21988985308631243
Total,2023,0.23217678953390042
Total,2024,0.2730645522464019
Total,Total,0.2295413671612496
