z_kkr_label,z_dy,pct_no_op
01-SH,2020,0.37611368824092484
01-SH,2021,0.3877360522725641
01-SH,2022,0.38572485207100593
01-SH,2023,0.40074906367041196
01-SH,2024,0.46333897349125774
01-SH,Total,0.3962939566224468
02-HH,2020,0.3229893238434164
02-HH,2021,0.3184784117728724
02-HH,2022,0.30286493860845837
02-HH,2023,0.34264332486970467
02-HH,2024,0.3910941475826972
02-HH,Total,0.3301082769706712
03-NI,2020,0.38527818079530984
03-NI,2021,0.37329375127331993
03-NI,2022,0.41245056989997675
03-NI,2023,0.41127743060601657
03-NI,2024,0.5674062012348192
03-NI,Total,0.41232164991956116
04-HB,2020,0.2989281460897181
04-HB,2021,0.29103885804916735
04-HB,2022,0.33081855903432666
04-HB,2023,0.31639085894405045
04-HB,2024,0.32727272727272727
04-HB,Total,0.3116760017233951
05-NW,2020,0.43395475881089396
05-NW,2021,0.3715847730363707
05-NW,2022,0.36815774377309657
05-NW,2023,0.39539099904245134
05-NW,2024,0.4466515597126465
05-NW,Total,0.39894903395317105
06-HE,2020,0.40579460205225487
06-HE,2021,0.45157912373293124
06-HE,2022,0.42569850820077476
06-HE,2023,0.4658571722576662
06-HE,2024,0.4668895699823535
06-HE,Total,0.4405052821534644
07-RP,2020,0.4124956652410126
07-RP,2021,0.3877155172413793
07-RP,2022,0.3935441799804369
07-RP,2023,0.4191810344827586
07-RP,2024,0.449357165255566
07-RP,Total,0.4085862768396164
08-BW,2020,0.3652067011168528
08-BW,2021,0.3806483001885301
08-BW,2022,0.39369935170178283
08-BW,2023,0.39704967385850476
08-BW,2024,0.44469746258945997
08-BW,Total,0.39103022189255443
09-BY,2020,0.300669694403818
09-BY,2021,0.3224990633195954
09-BY,2022,0.3248332317016834
09-BY,2023,0.3453358858336234
09-BY,2024,0.39305106880197954
09-BY,Total,0.3320800425983359
10-SL,2020,0.31763313609467453
10-SL,2021,0.32319474835886214
10-SL,2022,0.3648471615720524
10-SL,2023,0.37249346120313864
10-SL,2024,0.4403470715835141
10-SL,Total,0.3559305308861259
11-BE,2020,0.282004555808656
11-BE,2021,0.2807296945128131
11-BE,2022,0.2824013870827915
11-BE,2023,0.2931401789518534
11-BE,2024,0.29656762990096325
11-BE,Total,0.286051478026301
12-BB,2020,0.23998575752180878
12-BB,2021,0.2545097338810502
12-BB,2022,0.27426837972876517
12-BB,2023,0.2940150061071366
12-BB,2024,0.33044455143636653
12-BB,Total,0.2736835953480217
13-MV,2020,0.20726648548133314
13-MV,2021,0.223640910885876
13-MV,2022,0.25768194070080863
13-MV,2023,0.30187492135397004
13-MV,2024,0.3765586034912718
13-MV,Total,0.2506917907497694
14-SN,2020,0.20941780821917808
14-SN,2021,0.21869596742707345
14-SN,2022,0.22369155228211138
14-SN,2023,0.23057630736392742
14-SN,2024,0.24798261949099937
14-SN,Total,0.22398718466072368
15-ST,2020,0.2550252551283373
15-ST,2021,0.2944715278498081
15-ST,2022,0.32136963696369636
15-ST,2023,0.32453644658098696
15-ST,2024,0.3162691487298817
15-ST,Total,0.3011624763449581
16-TH,2020,0.26550840850874263
16-TH,2021,0.27180677143761206
16-TH,2022,0.30284108648142366
16-TH,2023,0.3403805496828753
16-TH,2024,0.36959793592775747
16-TH,Total,0.30369843527738266
Total,2020,0.3520087756973545
Total,2021,0.3471066154410531
Total,2022,0.3546219343735139
Total,2023,0.3723770843180144
Total,2024,0.4204647356857822
Total,Total,0.36383516172175706
