tum,pat,op,ops,syst,st,bestr,app
30960,28092,11892.0,26647.0,14168.0,5550.0,5550.0,0.0
63249,56359,21784.0,40968.0,23710.0,9677.0,9677.0,0.0
69613,64446,42646.0,81186.0,38456.0,16413.0,21570.0,21570.0
77672,73392,60183.0,100794.0,48070.0,17983.0,26175.0,26175.0
110032,75219,73292.0,105958.0,38061.0,15609.0,19044.0,19044.0
130868,107024,79722.0,155529.0,61689.0,27190.0,33558.0,33558.0
146981,130099,94825.0,206918.0,64774.0,28306.0,34537.0,34537.0
162063,147110,91167.0,174388.0,46444.0,71075.0,71075.0,67826.0
163371,115131,114584.0,196290.0,59910.0,23800.0,33118.0,33118.0
194283,172772,56623.0,110767.0,64858.0,27180.0,27180.0,0.0
207946,182432,110920.0,239121.0,91806.0,38270.0,54184.0,54184.0
277590,256091,124931.0,258560.0,154608.0,55169.0,55169.0,0.0
334093,219069,157556.0,255585.0,118642.0,45436.0,57754.0,57754.0
457569,404611,286595.0,578635.0,240218.0,99958.0,120154.0,120154.0
572135,456579,308389.0,590646.0,221903.0,107308.0,135448.0,135011.0
1017558,932294,455853.0,917791.0,295918.0,104192.0,141949.0,141949.0
