class,source,cnt
ann_arbor,diag,52654
ann_arbor,fol,1021
bclc,diag,2468
bclc,fol,53
binet,diag,10156
binet,fol,475
brain,diag,36150
brain,fol,1357
breslow,diag,17230
breslow,fol,365
clark,diag,33568
clark,fol,906
dukes,diag,689
dukes,fol,16
ebv,diag,50
ebv,fol,10
eln,diag,1894
eln,fol,23
er,diag,564
er,fol,27
figo,diag,39292
figo,fol,1765
gist,diag,2870
gist,fol,263
gleason,diag,39615
gleason,fol,10452
gshg,diag,802
gshg,fol,11
her2,diag,8763
her2,fol,7153
hormone_receptor,diag,3930
hormone_receptor,fol,14007
hpv,diag,38002
hpv,fol,2146
imdc,diag,38
imdc,fol,1
ipi,diag,7187
ipi,fol,108
ipss,diag,3877
ipss,fol,132
iss,diag,8354
iss,fol,140
isswm,diag,379
isswm,fol,6
isup,diag,8561
isup,fol,692
ki67,diag,38275
ki67,fol,2112
lauren,diag,2158
lauren,fol,57
mskcc,diag,10
pr,diag,190
psa,diag,76664
psa,fol,68472
ruptur,diag,79
ruptur,fol,1
sanz,diag,53
sanz,fol,1
siewert,diag,2166
siewert,fol,10
tnm,diag,314
tnm,fol,222
uicc,diag,126072
uicc,fol,2767
who,diag,12837
who,fol,548
