kkr,UICC_Stadium_p,cnt
01-SH,0,155
01-SH,I,18219
01-SH,II,11527
01-SH,III,7791
01-SH,IV,4802
01-SH,okk,2
02-HH,I,7100
02-HH,II,2551
02-HH,III,2032
02-HH,IV,969
03-NI,II,3
03-NI,III,1
04-HB,0,36
04-HB,I,3642
04-HB,II,2620
04-HB,III,1700
04-HB,IV,767
06-HE,0,354
06-HE,I,22483
06-HE,II,15389
06-HE,III,9906
06-HE,IV,5611
06-HE,okk,9
07-RP,I,11858
07-RP,II,11155
07-RP,III,5566
07-RP,IV,3489
08-BW,0,53
08-BW,I,29878
08-BW,II,26664
08-BW,III,16542
08-BW,IV,10408
09-BY,0,1055
09-BY,I,53213
09-BY,II,37663
09-BY,III,23178
09-BY,IV,12676
09-BY,okk,3
10-SL,0,15
10-SL,I,2046
10-SL,II,1537
10-SL,III,1040
10-SL,IV,917
10-SL,okk,4
11-BE,0,717
11-BE,I,16162
11-BE,II,12195
11-BE,III,7254
11-BE,IV,3711
11-BE,okk,1
12-BB,0,696
12-BB,I,12414
12-BB,II,9531
12-BB,III,6060
12-BB,IV,3344
13-MV,0,211
13-MV,I,8403
13-MV,II,5736
13-MV,III,3833
13-MV,IV,1920
13-MV,okk,1
14-SN,0,479
14-SN,I,29081
14-SN,II,19303
14-SN,III,12110
14-SN,IV,6083
14-SN,okk,1
15-ST,0,1214
15-ST,I,13391
15-ST,II,9376
15-ST,III,6286
15-ST,IV,2943
15-ST,okk,1
16-TH,0,272
16-TH,I,11352
16-TH,II,8173
16-TH,III,5424
16-TH,IV,2862
