kkr,z_dy,cnt
01-SH,1900,45
01-SH,2020,38424
01-SH,2021,40631
01-SH,2022,38868
01-SH,2023,38417
01-SH,2024,37898
02-HH,1900,58
02-HH,2020,13605
02-HH,2021,14175
02-HH,2022,14052
02-HH,2023,13746
02-HH,2024,13977
03-NI,1900,226
03-NI,2020,56722
03-NI,2021,58056
03-NI,2022,57453
03-NI,2023,57014
03-NI,2024,48119
04-HB,1900,10
04-HB,2020,6722
04-HB,2021,6849
04-HB,2022,7054
04-HB,2023,5446
04-HB,2024,4879
05-NW,2020,205513
05-NW,2021,202829
05-NW,2022,207706
05-NW,2023,209645
05-NW,2024,191865
06-HE,1900,258
06-HE,1965,1
06-HE,1970,3
06-HE,1974,2
06-HE,1975,1
06-HE,1977,1
06-HE,1979,1
06-HE,1981,2
06-HE,1982,1
06-HE,1983,2
06-HE,1984,6
06-HE,1985,3
06-HE,1986,6
06-HE,1987,7
06-HE,1988,7
06-HE,1989,5
06-HE,1990,11
06-HE,1991,12
06-HE,1992,10
06-HE,1993,9
06-HE,1994,15
06-HE,1995,21
06-HE,1996,14
06-HE,1997,28
06-HE,1998,32
06-HE,1999,45
06-HE,2000,39
06-HE,2001,46
06-HE,2002,66
06-HE,2003,78
06-HE,2004,80
06-HE,2005,87
06-HE,2006,123
06-HE,2007,145
06-HE,2008,185
06-HE,2009,268
06-HE,2010,300
06-HE,2011,303
06-HE,2012,436
06-HE,2013,535
06-HE,2014,994
06-HE,2015,1562
06-HE,2016,1726
06-HE,2017,1846
06-HE,2018,1939
06-HE,2019,2393
06-HE,2020,39402
06-HE,2021,41360
06-HE,2022,41777
06-HE,2023,41597
06-HE,2024,29713
06-HE,2025,443
07-RP,2020,31496
07-RP,2021,33886
07-RP,2022,33423
07-RP,2023,33014
07-RP,2024,30244
08-BW,1900,1471
08-BW,2020,90254
08-BW,2021,92017
08-BW,2022,91915
08-BW,2023,91447
08-BW,2024,90465
09-BY,1900,1426
09-BY,1937,1
09-BY,1941,1
09-BY,1948,1
09-BY,1951,1
09-BY,1954,1
09-BY,1955,1
09-BY,1959,4
09-BY,1961,1
09-BY,1962,3
09-BY,1963,3
09-BY,1964,1
09-BY,1966,1
09-BY,1967,3
09-BY,1968,8
09-BY,1969,5
09-BY,1970,14
09-BY,1971,11
09-BY,1972,14
09-BY,1973,7
09-BY,1974,12
09-BY,1975,17
09-BY,1976,17
09-BY,1977,22
09-BY,1978,32
09-BY,1979,37
09-BY,1980,55
09-BY,1981,49
09-BY,1982,58
09-BY,1983,66
09-BY,1984,85
09-BY,1985,120
09-BY,1986,115
09-BY,1987,128
09-BY,1988,165
09-BY,1989,164
09-BY,1990,198
09-BY,1991,199
09-BY,1992,241
09-BY,1993,284
09-BY,1994,354
09-BY,1995,400
09-BY,1996,420
09-BY,1997,533
09-BY,1998,655
09-BY,1999,802
09-BY,2000,968
09-BY,2001,1091
09-BY,2002,1613
09-BY,2003,1828
09-BY,2004,2110
09-BY,2005,2320
09-BY,2006,2569
09-BY,2007,2924
09-BY,2008,3296
09-BY,2009,3395
09-BY,2010,3633
09-BY,2011,3826
09-BY,2012,4083
09-BY,2013,4174
09-BY,2014,4699
09-BY,2015,4723
09-BY,2016,5125
09-BY,2017,5839
09-BY,2018,6466
09-BY,2019,7703
09-BY,2020,95166
09-BY,2021,98356
09-BY,2022,99767
09-BY,2023,100861
09-BY,2024,95762
09-BY,2025,3102
09-BY,2026,1
10-SL,1900,13
10-SL,2020,11789
10-SL,2021,12882
10-SL,2022,13021
10-SL,2023,12713
10-SL,2024,12831
11-BE,1900,829
11-BE,1987,1
11-BE,1990,1
11-BE,1991,1
11-BE,1992,1
11-BE,1993,1
11-BE,1994,3
11-BE,1995,1
11-BE,1996,3
11-BE,1997,5
11-BE,1998,3
11-BE,1999,11
11-BE,2000,31
11-BE,2001,44
11-BE,2002,45
11-BE,2003,65
11-BE,2004,63
11-BE,2005,77
11-BE,2006,82
11-BE,2007,86
11-BE,2008,101
11-BE,2009,107
11-BE,2010,126
11-BE,2011,114
11-BE,2012,155
11-BE,2013,157
11-BE,2014,157
11-BE,2015,186
11-BE,2016,799
11-BE,2017,1505
11-BE,2018,1694
11-BE,2019,1902
11-BE,2020,26323
11-BE,2021,27288
11-BE,2022,28041
11-BE,2023,28859
11-BE,2024,27792
11-BE,2025,322
12-BB,1900,237
12-BB,1966,2
12-BB,1969,1
12-BB,1972,1
12-BB,1974,1
12-BB,1975,2
12-BB,1976,1
12-BB,1978,3
12-BB,1979,5
12-BB,1980,7
12-BB,1981,5
12-BB,1982,4
12-BB,1983,7
12-BB,1984,10
12-BB,1985,5
12-BB,1986,11
12-BB,1987,6
12-BB,1988,10
12-BB,1989,16
12-BB,1990,11
12-BB,1991,23
12-BB,1992,35
12-BB,1993,46
12-BB,1994,71
12-BB,1995,112
12-BB,1996,148
12-BB,1997,164
12-BB,1998,182
12-BB,1999,242
12-BB,2000,282
12-BB,2001,287
12-BB,2002,367
12-BB,2003,424
12-BB,2004,448
12-BB,2005,480
12-BB,2006,520
12-BB,2007,578
12-BB,2008,712
12-BB,2009,755
12-BB,2010,797
12-BB,2011,805
12-BB,2012,931
12-BB,2013,954
12-BB,2014,1000
12-BB,2015,967
12-BB,2016,935
12-BB,2017,1116
12-BB,2018,1326
12-BB,2019,1529
12-BB,2020,22371
12-BB,2021,22897
12-BB,2022,22651
12-BB,2023,23561
12-BB,2024,22456
12-BB,2025,351
13-MV,1900,43
13-MV,1948,1
13-MV,1951,1
13-MV,1970,2
13-MV,1976,1
13-MV,1977,3
13-MV,1978,2
13-MV,1980,2
13-MV,1981,4
13-MV,1982,1
13-MV,1983,3
13-MV,1984,1
13-MV,1985,1
13-MV,1986,6
13-MV,1987,5
13-MV,1988,6
13-MV,1989,4
13-MV,1990,6
13-MV,1991,8
13-MV,1992,10
13-MV,1993,13
13-MV,1994,77
13-MV,1995,108
13-MV,1996,121
13-MV,1997,182
13-MV,1998,184
13-MV,1999,234
13-MV,2000,284
13-MV,2001,387
13-MV,2002,434
13-MV,2003,427
13-MV,2004,499
13-MV,2005,584
13-MV,2006,676
13-MV,2007,737
13-MV,2008,853
13-MV,2009,996
13-MV,2010,1081
13-MV,2011,1143
13-MV,2012,1328
13-MV,2013,1435
13-MV,2014,1550
13-MV,2015,1641
13-MV,2016,1892
13-MV,2017,1975
13-MV,2018,1942
13-MV,2019,2185
13-MV,2020,18836
13-MV,2021,20031
13-MV,2022,21579
13-MV,2023,23661
13-MV,2024,2837
13-MV,2025,10
14-SN,1900,219
14-SN,1945,1
14-SN,1948,1
14-SN,1950,1
14-SN,1962,2
14-SN,1963,1
14-SN,1964,1
14-SN,1965,1
14-SN,1966,2
14-SN,1967,2
14-SN,1968,1
14-SN,1969,2
14-SN,1970,17
14-SN,1971,2
14-SN,1972,5
14-SN,1973,6
14-SN,1974,3
14-SN,1975,8
14-SN,1976,10
14-SN,1977,5
14-SN,1978,4
14-SN,1979,11
14-SN,1980,19
14-SN,1981,24
14-SN,1982,22
14-SN,1983,23
14-SN,1984,22
14-SN,1985,34
14-SN,1986,34
14-SN,1987,38
14-SN,1988,45
14-SN,1989,52
14-SN,1990,67
14-SN,1991,73
14-SN,1992,100
14-SN,1993,197
14-SN,1994,338
14-SN,1995,422
14-SN,1996,483
14-SN,1997,579
14-SN,1998,654
14-SN,1999,810
14-SN,2000,909
14-SN,2001,1110
14-SN,2002,1223
14-SN,2003,1347
14-SN,2004,1578
14-SN,2005,1754
14-SN,2006,1962
14-SN,2007,2391
14-SN,2008,2948
14-SN,2009,3359
14-SN,2010,3674
14-SN,2011,3928
14-SN,2012,4333
14-SN,2013,4445
14-SN,2014,4837
14-SN,2015,5417
14-SN,2016,6079
14-SN,2017,6393
14-SN,2018,8690
14-SN,2019,10495
14-SN,2020,51634
14-SN,2021,52920
14-SN,2022,53415
14-SN,2023,53830
14-SN,2024,41076
14-SN,2025,5
15-ST,1900,839
15-ST,1972,1
15-ST,1978,1
15-ST,1979,1
15-ST,1980,1
15-ST,1981,2
15-ST,1982,4
15-ST,1983,7
15-ST,1984,5
15-ST,1985,2
15-ST,1986,10
15-ST,1987,1
15-ST,1988,4
15-ST,1989,8
15-ST,1990,19
15-ST,1991,29
15-ST,1992,30
15-ST,1993,57
15-ST,1994,67
15-ST,1995,117
15-ST,1996,171
15-ST,1997,195
15-ST,1998,217
15-ST,1999,275
15-ST,2000,347
15-ST,2001,454
15-ST,2002,453
15-ST,2003,501
15-ST,2004,566
15-ST,2005,683
15-ST,2006,710
15-ST,2007,818
15-ST,2008,910
15-ST,2009,1010
15-ST,2010,1130
15-ST,2011,1063
15-ST,2012,1175
15-ST,2013,1268
15-ST,2014,1343
15-ST,2015,1451
15-ST,2016,1559
15-ST,2017,1937
15-ST,2018,2994
15-ST,2019,4086
15-ST,2020,25768
15-ST,2021,25587
15-ST,2022,27328
15-ST,2023,28107
15-ST,2024,27291
15-ST,2025,2769
16-TH,1900,121
16-TH,2020,15468
16-TH,2021,16044
16-TH,2022,16149
16-TH,2023,15847
16-TH,2024,14043
