kkr,code_1d,cnt
01-SH,1,1764
01-SH,3,127
01-SH,5,108010
01-SH,8,865
01-SH,9,1
02-HH,1,1
02-HH,5,81135
02-HH,8,50
03-NI,1,10373
03-NI,3,2952
03-NI,5,241417
03-NI,8,3739
03-NI,9,79
04-HB,1,644
04-HB,3,235
04-HB,5,25349
04-HB,8,411
04-HB,9,8
05-NW,5,917791
06-HE,1,9991
06-HE,3,1829
06-HE,5,230227
06-HE,6,2
06-HE,8,6658
06-HE,9,46
07-RP,1,3545
07-RP,3,776
07-RP,5,171769
07-RP,6,1
07-RP,8,2205
07-RP,9,14
08-BW,5,571713
08-BW,8,6922
09-BY,1,18329
09-BY,3,8181
09-BY,5,555650
09-BY,6,3
09-BY,8,8470
09-BY,9,13
10-SL,1,842
10-SL,3,41
10-SL,5,39794
10-SL,6,1
10-SL,8,290
11-BE,1,3217
11-BE,3,2201
11-BE,5,200784
11-BE,6,6
11-BE,8,700
11-BE,9,10
12-BB,1,3164
12-BB,3,684
12-BB,5,150233
12-BB,6,4
12-BB,8,1440
12-BB,9,4
13-MV,1,2740
13-MV,3,623
13-MV,5,138694
13-MV,6,1
13-MV,8,1509
13-MV,9,6
13-MV,U,1
14-SN,1,1819
14-SN,3,805
14-SN,5,251096
14-SN,6,2
14-SN,8,1851
14-SN,9,12
15-ST,1,2125
15-ST,3,1829
15-ST,5,190152
15-ST,6,10
15-ST,8,2170
15-ST,9,4
16-TH,1,2693
16-TH,3,211
16-TH,5,96694
16-TH,8,1196
