kkr,icd10_3d,cnt
01-SH,C00,83
01-SH,C01,128
01-SH,C02,214
01-SH,C03,127
01-SH,C04,171
01-SH,C05,80
01-SH,C06,77
01-SH,C07,100
01-SH,C08,28
01-SH,C09,229
01-SH,C10,87
01-SH,C11,10
01-SH,C12,30
01-SH,C13,75
01-SH,C14,2
01-SH,C15,512
01-SH,C16,1219
01-SH,C17,344
01-SH,C18,5365
01-SH,C19,76
01-SH,C20,1929
01-SH,C21,107
01-SH,C22,338
01-SH,C23,113
01-SH,C24,296
01-SH,C25,1014
01-SH,C26,8
01-SH,C30,111
01-SH,C31,29
01-SH,C32,412
01-SH,C33,2
01-SH,C34,2082
01-SH,C37,42
01-SH,C38,3
01-SH,C40,30
01-SH,C41,29
01-SH,C43,3095
01-SH,C45,70
01-SH,C46,7
01-SH,C47,8
01-SH,C48,74
01-SH,C49,345
01-SH,C50,10634
01-SH,C51,505
01-SH,C52,30
01-SH,C53,528
01-SH,C54,1397
01-SH,C55,13
01-SH,C56,789
01-SH,C57,112
01-SH,C60,177
01-SH,C61,5138
01-SH,C62,675
01-SH,C63,16
01-SH,C64,1760
01-SH,C65,184
01-SH,C66,105
01-SH,C67,2744
01-SH,C68,37
01-SH,C69,168
01-SH,C70,11
01-SH,C71,770
01-SH,C72,19
01-SH,C73,911
01-SH,C74,23
01-SH,C75,64
01-SH,C76,7
01-SH,C80,176
01-SH,C81,60
01-SH,C82,76
01-SH,C83,198
01-SH,C84,10
01-SH,C85,14
01-SH,C86,7
01-SH,C88,35
01-SH,C90,39
01-SH,C91,16
01-SH,C92,30
01-SH,C93,2
01-SH,C94,5
01-SH,C96,5
01-SH,D00,48
01-SH,D01,246
01-SH,D02,56
01-SH,D03,490
01-SH,D05,1271
01-SH,D06,2326
01-SH,D07,330
01-SH,D09,2966
01-SH,D32,723
01-SH,D33,207
01-SH,D35,240
01-SH,D37,79
01-SH,D38,5
01-SH,D39,220
01-SH,D40,4
01-SH,D41,17
01-SH,D42,93
01-SH,D43,101
01-SH,D44,36
01-SH,D46,5
01-SH,D47,2
01-SH,D48,67
02-HH,C00,27
02-HH,C01,81
02-HH,C02,137
02-HH,C03,67
02-HH,C04,76
02-HH,C05,63
02-HH,C06,66
02-HH,C07,101
02-HH,C08,20
02-HH,C09,171
02-HH,C10,43
02-HH,C11,6
02-HH,C12,4
02-HH,C13,23
02-HH,C14,18
02-HH,C15,265
02-HH,C16,778
02-HH,C17,217
02-HH,C18,2745
02-HH,C19,33
02-HH,C20,990
02-HH,C21,127
02-HH,C22,275
02-HH,C23,67
02-HH,C24,214
02-HH,C25,619
02-HH,C26,6
02-HH,C30,86
02-HH,C31,25
02-HH,C32,234
02-HH,C33,1
