class,z_dy,cnt
ann_arbor,(<2020),5090
ann_arbor,2020,11072
ann_arbor,2021,10644
ann_arbor,2022,9836
ann_arbor,2023,9568
ann_arbor,2024,8343
ann_arbor,2025,89
bclc,(<2020),38
bclc,2020,508
bclc,2021,497
bclc,2022,495
bclc,2023,507
bclc,2024,513
binet,(<2020),2245
binet,2020,2060
binet,2021,1812
binet,2022,1754
binet,2023,1586
binet,2024,1332
binet,2025,17
brain,(<2020),1112
brain,2020,7370
brain,2021,7265
brain,2022,7515
brain,2023,7527
brain,2024,6746
brain,2025,36
breslow,(<2020),2664
breslow,2020,4588
breslow,2021,2809
breslow,2022,2678
breslow,2023,2382
breslow,2024,2567
breslow,2025,69
clark,(<2020),7043
clark,2020,8864
clark,2021,5481
clark,2022,5361
clark,2023,4112
clark,2024,3844
clark,2025,57
dukes,(<2020),479
dukes,2020,28
dukes,2021,29
dukes,2022,2
dukes,2023,14
dukes,2024,154
ebv,2020,11
ebv,2021,18
ebv,2022,16
ebv,2023,4
ebv,2024,10
ebv,2025,1
eln,(<2020),3
eln,2020,188
eln,2021,308
eln,2022,375
eln,2023,503
eln,2024,545
eln,2025,11
er,2020,97
er,2021,88
er,2022,117
er,2023,97
er,2024,192
figo,(<2020),1341
figo,2020,8492
figo,2021,8855
figo,2022,8431
figo,2023,7744
figo,2024,6751
figo,2025,47
gist,(<2020),151
gist,2020,482
gist,2021,553
gist,2022,656
gist,2023,595
gist,2024,700
gist,2025,16
gleason,(<2020),14912
gleason,2020,7581
gleason,2021,7816
gleason,2022,7276
gleason,2023,6509
gleason,2024,7632
gleason,2025,137
gshg,(<2020),21
gshg,2020,133
gshg,2021,153
gshg,2022,150
gshg,2023,180
gshg,2024,181
gshg,2025,1
her2,(<2020),21
her2,2020,2583
her2,2021,3123
her2,2022,3716
her2,2023,3907
her2,2024,3681
her2,2025,91
hormone_receptor,2020,3712
hormone_receptor,2021,3884
hormone_receptor,2022,4069
hormone_receptor,2023,3555
hormone_receptor,2024,2716
hormone_receptor,2025,1
hpv,(<2020),986
hpv,2020,5733
hpv,2021,7110
hpv,2022,9380
hpv,2023,9505
hpv,2024,8139
hpv,2025,119
imdc,2020,3
imdc,2021,13
imdc,2022,8
imdc,2023,7
imdc,2024,8
ipi,(<2020),339
ipi,2020,1456
ipi,2021,1417
ipi,2022,1378
ipi,2023,1366
ipi,2024,1380
ipi,2025,16
ipss,(<2020),199
ipss,2020,810
ipss,2021,858
ipss,2022,828
ipss,2023,707
ipss,2024,629
ipss,2025,13
iss,(<2020),287
iss,2020,1576
iss,2021,1778
iss,2022,1701
iss,2023,1757
iss,2024,1487
iss,2025,22
isswm,(<2020),11
isswm,2020,59
isswm,2021,88
isswm,2022,89
isswm,2023,89
isswm,2024,52
isup,(<2020),206
isup,2020,1446
isup,2021,1605
isup,2022,1846
isup,2023,2183
isup,2024,2381
isup,2025,18
ki67,(<2020),423
ki67,2020,3454
ki67,2021,4510
ki67,2022,9523
ki67,2023,16140
ki67,2024,17776
ki67,2025,308
lauren,(<2020),233
lauren,2020,666
lauren,2021,458
lauren,2022,432
lauren,2023,290
lauren,2024,134
lauren,2025,3
mskcc,2020,2
mskcc,2021,5
mskcc,2022,2
mskcc,2023,1
pr,2020,2
pr,2021,2
pr,2022,10
pr,2023,17
pr,2024,159
psa,(<2020),3
psa,2020,30471
psa,2021,32406
psa,2022,31265
psa,2023,28784
psa,2024,22207
ruptur,2020,1
ruptur,2021,2
ruptur,2022,1
ruptur,2023,8
ruptur,2024,68
sanz,(<2020),3
sanz,2020,9
sanz,2021,12
sanz,2022,11
sanz,2023,12
sanz,2024,9
siewert,(<2020),32
siewert,2020,414
siewert,2021,405
siewert,2022,427
siewert,2023,487
siewert,2024,413
siewert,2025,4
tnm,(<2020),59
tnm,2020,213
tnm,2021,215
tnm,2022,42
tnm,2023,6
tnm,2024,1
uicc,(<2020),4993
uicc,2020,28509
uicc,2021,31024
uicc,2022,30137
uicc,2023,27025
uicc,2024,7389
uicc,2025,7
who,(<2020),736
who,2020,3189
who,2021,2961
who,2022,2216
who,2023,2318
who,2024,2503
who,2025,55
