Vitalstatus_YY,Vitalstatus_MM,z_kkr_label,cnt
2020,M01,01-SH,1
2020,M01,06-HE,518
2020,M01,08-BW,20
2020,M01,09-BY,1358
2020,M01,10-SL,221
2020,M01,11-BE,406
2020,M01,12-BB,290
2020,M01,13-MV,22
2020,M01,14-SN,36
2020,M01,15-ST,294
2020,M01,16-TH,210
2020,M02,06-HE,658
2020,M02,08-BW,11
2020,M02,09-BY,1813
2020,M02,10-SL,253
2020,M02,11-BE,458
2020,M02,12-BB,397
2020,M02,13-MV,16
2020,M02,14-SN,32
2020,M02,15-ST,341
2020,M02,16-TH,251
2020,M03,01-SH,1
2020,M03,02-HH,1
2020,M03,03-NI,1
2020,M03,04-HB,2
2020,M03,06-HE,909
2020,M03,08-BW,11
2020,M03,09-BY,2269
2020,M03,10-SL,267
2020,M03,11-BE,588
2020,M03,12-BB,460
2020,M03,13-MV,25
2020,M03,14-SN,57
2020,M03,15-ST,381
2020,M03,16-TH,351
2020,M04,03-NI,2
2020,M04,06-HE,732
2020,M04,08-BW,19
2020,M04,09-BY,2059
2020,M04,10-SL,246
2020,M04,11-BE,540
2020,M04,12-BB,446
2020,M04,13-MV,13
2020,M04,14-SN,40
2020,M04,15-ST,366
2020,M04,16-TH,287
2020,M05,01-SH,7
2020,M05,03-NI,3
2020,M05,04-HB,3
2020,M05,06-HE,876
2020,M05,08-BW,20
2020,M05,09-BY,2189
2020,M05,10-SL,286
2020,M05,11-BE,590
2020,M05,12-BB,471
2020,M05,13-MV,20
2020,M05,14-SN,41
2020,M05,15-ST,387
2020,M05,16-TH,341
2020,M06,01-SH,5
2020,M06,02-HH,4
2020,M06,03-NI,1
2020,M06,04-HB,1
2020,M06,06-HE,1007
2020,M06,08-BW,20
2020,M06,09-BY,2481
2020,M06,10-SL,348
2020,M06,11-BE,693
2020,M06,12-BB,517
2020,M06,13-MV,22
2020,M06,14-SN,62
2020,M06,15-ST,562
2020,M06,16-TH,364
2020,M07,01-SH,8
2020,M07,02-HH,5
2020,M07,03-NI,1
2020,M07,04-HB,3
2020,M07,06-HE,1161
2020,M07,08-BW,34
2020,M07,09-BY,3185
2020,M07,10-SL,360
2020,M07,11-BE,688
2020,M07,12-BB,622
2020,M07,13-MV,27
2020,M07,14-SN,75
2020,M07,15-ST,567
2020,M07,16-TH,376
2020,M08,01-SH,5
2020,M08,02-HH,1
2020,M08,03-NI,4
2020,M08,04-HB,4
2020,M08,06-HE,1070
2020,M08,08-BW,32
2020,M08,09-BY,2832
2020,M08,10-SL,363
2020,M08,11-BE,652
2020,M08,12-BB,553
2020,M08,13-MV,28
2020,M08,14-SN,55
2020,M08,15-ST,508
2020,M08,16-TH,362
2020,M09,01-SH,9
2020,M09,02-HH,6
2020,M09,03-NI,1
2020,M09,04-HB,2
2020,M09,06-HE,1304
2020,M09,08-BW,52
2020,M09,09-BY,3207
2020,M09,10-SL,474
2020,M09,11-BE,805
2020,M09,12-BB,683
2020,M09,13-MV,37
2020,M09,14-SN,55
2020,M09,15-ST,607
2020,M09,16-TH,415
2020,M10,01-SH,10
2020,M10,02-HH,9
2020,M10,03-NI,2
2020,M10,04-HB,9
2020,M10,06-HE,1244
2020,M10,08-BW,37
2020,M10,09-BY,3512
2020,M10,10-SL,405
2020,M10,11-BE,864
2020,M10,12-BB,674
2020,M10,13-MV,27
2020,M10,14-SN,63
2020,M10,15-ST,573
2020,M10,16-TH,438
2020,M11,01-SH,10
2020,M11,02-HH,13
2020,M11,03-NI,1
2020,M11,04-HB,5
2020,M11,06-HE,1320
2020,M11,08-BW,41
2020,M11,09-BY,3538
2020,M11,10-SL,508
2020,M11,11-BE,887
2020,M11,12-BB,711
2020,M11,13-MV,39
2020,M11,14-SN,59
2020,M11,15-ST,742
2020,M11,16-TH,499
2020,M12,01-SH,11
2020,M12,02-HH,9
2020,M12,04-HB,10
2020,M12,06-HE,1275
2020,M12,08-BW,38
2020,M12,09-BY,3373
2020,M12,10-SL,359
2020,M12,11-BE,761
2020,M12,12-BB,558
