Jahr;Einrichtung;Anzahl
2022;Universität oder Hochschule;19
2022;andere öffentliche Einrichtung;1
2022;außeruniversitäre Forschungseinrichtung;4
2022;pharmazeutisches Unternehmen oder Auftragsforschungsinstitut;3
2023;Universität oder Hochschule;17
2023;andere öffentliche Einrichtung;1
2023;außeruniversitäre Forschungseinrichtung;2
2023;pharmazeutisches Unternehmen oder Auftragsforschungsinstitut;3
2024;Universität oder Hochschule;22
2024;außeruniversitäre Forschungseinrichtung;4
2024;pharmazeutisches Unternehmen oder Auftragsforschungsinstitut;4
2025;Universität oder Hochschule;20
2025;andere öffentliche Einrichtung;1
2025;außeruniversitäre Forschungseinrichtung;7
2025;pharmazeutisches Unternehmen oder Auftragsforschungsinstitut;11
